              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         -5.212         -11.162          -0.100         1.12252         0.20856         0.09827        -0.19003         0.01589        -0.93249
        -13.656           8.230          -0.100        -0.00636        -0.64490        -0.03710         0.55939         0.05868        -0.55302
          5.464          10.005          -0.100         2.37801         0.34520        -0.49896        -0.37296         0.01889        -2.00504
         11.277           7.026          -0.100        -0.38713         0.14015         0.00073         0.98768        -0.10138        -0.60056
        -12.899          -5.394          -0.100        -0.04468         0.46779         0.03230         0.70921         0.06148        -0.66453
          5.387           5.856          -0.100       -12.21156        12.10474        27.34175        -8.53520       -27.42604        20.74676
         -1.566         -11.549          -0.100         1.09890         0.51946         0.11695        -0.01141         0.04868        -1.08749
         -2.086           0.415          -0.100        -2.44335        -2.00083        -1.73612        24.36580         4.64204       -21.92245
        -11.959         -11.275          -0.100         0.18910         0.41070         0.01989         0.14296         0.01818        -0.33206
        -10.623           0.604          -0.100        -2.10623         2.26869         0.37745         7.07884         1.70826        -4.97261
         -0.561           7.115          -0.100         1.00747         1.44917        -0.37213         2.43672        -0.17012        -3.44419
          2.330         -12.359          -0.100         1.95532         0.37702         0.20493        -0.61629         0.04026        -1.33902
         -5.186          -2.394          -0.100         4.48726         0.00132         1.50278         4.88404         2.42093        -9.37130
          4.407           9.232          -0.100         4.32555         0.89976        -1.21873        -0.71608        -0.13334        -3.60947
          9.951           3.372          -0.100        -0.03770        -0.23266         0.03176         0.76269        -0.08397        -0.72498
          0.863           0.091          -0.100         7.47516        -7.85370        13.84850        10.26889       -16.54036       -17.74406
        -12.081           8.292          -0.100         0.12488        -1.01165        -0.07866         0.77989         0.11879        -0.90476
        -13.814          -8.975          -0.100         0.02912         0.36688         0.01598         0.30273         0.02166        -0.33185
          8.845          10.422          -0.100         0.86967         1.30639        -0.22023         0.11449        -0.14484        -0.98416
          0.762           8.570          -0.100         0.30168        -1.07176        -0.43915         2.35054         0.54792        -2.65223
          0.709         -10.048          -0.100         3.25119         2.36486         0.73303         0.24207         0.41325        -3.49327
        -10.760          -3.881          -0.100         0.51448         0.70150         0.10852         1.10341         0.19870        -1.61790
         -3.759           5.665          -0.100         6.34778         0.51167       -17.33944        -7.07519        49.83156         0.72741
         14.963          10.475          -0.100        -0.04011         0.16528        -0.00500         0.19006        -0.01056        -0.14994
         -1.810          14.769          -0.100         0.49815         0.03834        -0.02652        -0.16851        -0.00068        -0.32965
        -14.145          -1.493          -0.100        -0.31670         0.44531         0.02947         1.02547         0.08709        -0.70877
         -6.586         -11.993          -0.100         0.83987         0.33866         0.05985        -0.20262         0.01727        -0.63724
         -6.720          11.953          -0.100         1.17305        -0.17695        -0.09992        -0.42148         0.00390        -0.75157
         11.835          11.120          -0.100         0.02646         0.37774        -0.01964         0.25641        -0.02703        -0.28287
         -5.951           3.800          -0.100         0.83150        10.15985       -17.44714        23.72093       -37.03627       -24.55244
          9.849           8.785          -0.100        -0.55119         1.27802        -0.13962         1.76488        -0.35763        -1.21369
          3.158          11.443          -0.100         1.25608         0.03771        -0.14635        -0.34286         0.00937        -0.91323
         -4.109          -8.134          -0.100         1.65393        -0.09834         0.53505         1.90591        -0.11026        -3.55984
          0.229          12.067          -0.100         0.77246         0.06384        -0.06886        -0.10882         0.00437        -0.66364
         -2.319           8.730          -0.100         2.76660         4.10481        -1.19398         1.73345        -1.21787        -4.50005
          1.565          13.710          -0.100         0.57907         0.07420        -0.03943        -0.16201         0.00006        -0.41706
          0.207          -6.572          -0.100       -12.65899       -16.61881        24.97588       -11.05818        33.12780        23.71716
