              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
          3.721          -0.360           0.000        -3.76441        -0.95500         0.38445         6.02325        -3.97729        -2.25885
         -3.327          -2.449           0.000        -0.19545         3.76613         1.68953         2.14773         2.29498        -1.95229
         -1.891           2.396           0.000         3.07821        -7.48571        -5.93661        -0.49262         4.68719        -2.58560
         -3.569          -2.957           0.000         0.23924         2.91783         1.21377         1.34420         1.46516        -1.58344
          1.762           1.459           0.000        -1.86427        12.52916       -10.36829         2.88323       -12.51709        -1.01896
         -0.780          -3.651           0.000         5.69867         2.04432         3.92770        -3.43546         0.83896        -2.26321
         -1.905          -3.259           0.000         3.50776         4.25099         3.34125        -1.27639         1.95376        -2.23137
          2.079           0.151           0.000       -14.63611         2.11417        -1.45242        14.26243       -19.95873         0.37368
          0.355           2.503           0.000        11.42274         3.02416       -12.60121        -9.45330        -1.78866        -1.96944
          0.697          -0.995           0.000        -0.80541       -25.29054        40.33749       -19.19458       -28.25562        20.00000
          0.353          -2.461           0.000        11.64609        -3.14482        13.14616        -9.80058        -1.88792        -1.84551
          0.518          -1.618           0.000        12.69852       -10.98076        28.26366       -18.10464        -9.04387         5.40611
         -0.088           1.648           0.000        16.26709        -2.09334       -31.17050       -22.63761         1.67237         6.37051
         -3.029           3.988           0.000         1.32776        -2.34576        -1.14536         0.02118         0.86996        -1.34895
         -0.768           3.253           0.000         6.96870        -2.85471        -5.58115        -4.45185         1.31735        -2.51685
         -3.060          -1.314           0.000        -3.16873         4.66654         2.28951         5.69141         5.33038        -2.52268
          2.274           0.981           0.000        -6.80567         8.17816        -5.30943         8.62246       -12.30687        -1.81679
          0.240           0.384           0.000       -86.79556         6.66223       -84.41468       -93.34455       -52.70977       180.14010
         -0.599           1.587           0.000        11.49940       -12.52473       -27.86619       -16.97197        10.51357         5.47257
         -1.245           3.687           0.000         4.68526        -2.75560        -3.31129        -2.54462         1.11816        -2.14063
          0.282           1.590           0.000        15.26691         6.89295       -31.88731       -22.39549        -5.65262         7.12858
         -1.466           0.940           0.000        -9.99937       -16.70721       -15.34580         5.34354        23.93254         4.65584
          0.561           1.473           0.000        11.37588        13.69824       -31.47409       -19.36951       -11.98844         7.99363
         -0.082           0.342           0.000       -94.81867        -1.20643       -67.99077       -99.53037        16.36295       194.34905
         -3.603          -0.942           0.000        -3.25068         2.46242         1.02386         5.52023         3.91467        -2.26955
         -1.170           2.781           0.000         6.79623        -5.62785        -7.21329        -4.21502         3.03433        -2.58121
         -2.524          -0.654           0.000        -7.92871         5.00896         2.94802        10.09273        11.37081        -2.16402
         -1.475          -0.455           0.000       -21.80348        11.85999        10.26115        13.01731        33.28944         8.78617
          3.605          -3.892           0.000         0.75365        -2.08757         0.85395         0.43401        -0.79107        -1.18766
         -0.542           1.365           0.000        10.76835       -15.24179       -35.01393       -21.58075        13.89818        10.81240
         -1.130          -1.607           0.000         4.57829        14.88472        18.49794        -6.11733        13.00963         1.53904
          1.549           2.328           0.000         4.74623         8.39168        -8.09665        -2.28966        -5.38507        -2.45657
         -0.890           1.121           0.000        -0.77264       -22.22572       -30.65923       -11.13286        24.33526        11.90550
         -0.773          -3.742           0.000         5.45297         1.87980         3.64022        -3.25712         0.75209        -2.19585
         -0.259           3.672           0.000         6.26550        -0.72609        -4.19612        -3.96341         0.29637        -2.30209
          2.714          -2.959           0.000         1.38616        -4.20665         2.31624         0.65711        -2.12421        -2.04326
         -0.489          -0.215           0.000       -88.21094        13.01097        50.64634       -64.29845       114.74302       152.50939
         -2.475          -2.170           0.000         0.40842         6.54021         3.96799         2.13136         4.52493        -2.53978
          2.513           1.341           0.000        -3.64247         7.30504        -4.34842         6.14593        -8.14748        -2.50346
         -2.384          -3.589           0.000         2.28964         3.28325         2.05201        -0.47283         1.36294        -1.81682
          0.103           0.391           0.000       -90.47178         2.22261       -81.49931       -98.27295       -21.48110       188.74473
          2.397           1.408           0.000        -3.25917         8.03332        -5.00538         5.69843        -8.52139        -2.43925
          3.531           1.730           0.000        -1.66493         3.50508        -1.48443         3.77364        -3.03043        -2.10871
          1.362           0.214           0.000       -29.38529         7.26465        -6.41238        15.77687       -40.86966        13.60842
          1.447           0.030           0.000       -28.24470         0.92554        -0.78981        16.82908       -38.47989        11.41563
          3.173           1.489           0.000        -2.46888         4.43370        -2.09686         4.89360        -4.46640        -2.42473
         -0.489          -2.325           0.000        11.72746         4.84058        14.53714       -10.28690         3.05527        -1.44056
          3.910           2.884           0.000        -0.05782         2.51577        -0.95310         1.49621        -1.29190        -1.43838
         -0.015          -2.801           0.000        10.30197         0.09760         9.67976        -7.84077         0.05207        -2.46120
         -3.592          -0.447           0.000        -4.02760         1.31339         0.54821         6.37407         4.40979        -2.34647
         -3.722          -1.040           0.000        -2.86931         2.39470         0.96278         5.03095         3.44531        -2.16163
          3.481           0.710           0.000        -3.94985         2.18878        -0.94313         6.34296        -4.62734        -2.39311
          1.719           2.353           0.000         3.83119         8.02402        -6.98882        -1.28513        -5.10727        -2.54606
          2.089           0.193           0.000       -14.34966         2.64898        -1.81363        14.09450       -19.64177         0.25515
          0.306           3.305           0.000         7.63266         1.19132        -5.83592        -5.10499        -0.54113        -2.52767
         -3.295           0.919           0.000        -3.96180        -3.14563        -1.43311         6.43778         5.13767        -2.47597
         -0.989          -0.433           0.000       -33.94015        22.24584        23.01647         7.13494        52.57393        26.80521
          2.785           0.902           0.000        -5.48450         4.89556        -2.63287         8.03729        -8.12526        -2.55279
         -2.216          -0.500           0.000       -11.16848         5.53072         3.63309        12.10370        16.10681        -0.93523
         -3.089          -0.032           0.000        -6.21689         0.15713         0.07632         8.80353         7.29593        -2.58663
          1.518          -1.195           0.000        -4.75464       -15.71644        14.46712         2.83965       -18.37868         1.91499
         -3.797          -1.842           0.000        -1.37726         2.94192         1.15529         3.26084         2.38177        -1.88357
         -2.609          -1.523           0.000        -2.57292         6.83911         3.93096         5.15472         6.73576        -2.58180
