# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.48729 -15.58475 1694.89831 34745.41525 -449.82968 299.82968 93.14874
-51.47966 -15.58475 1694.89831 35592.86441 -450.66469 300.66469 30.87950
-51.47203 -15.58475 1694.89831 36440.31356 -451.45487 301.45487 72.14093
-51.46441 -15.58475 1694.89831 37287.76271 -452.19168 302.19168 165.35256
-51.45678 -15.58475 1694.89831 38135.21186 -452.86529 302.86529 91.28171
-51.44915 -15.58475 1694.89831 38982.66102 -453.46349 303.46349 56.57034
-51.44153 -15.58475 1694.89831 39830.11017 -453.97076 303.97076 -0.99590
-51.43390 -15.58475 1694.89831 40677.55932 -454.36732 304.36732 -70.25759
-51.42627 -15.58475 1694.89831 41525.00847 -454.62941 304.62941 -236.89517
-51.41864 -15.58475 1694.89831 42372.45763 -454.78158 304.78158 -534.59268
-51.41102 -15.58475 1694.89831 43219.90678 -454.40753 304.40753 -643.41956
-51.40339 -15.58475 1694.89831 44067.35593 -453.84844 303.84844 -511.63333
-51.39576 -15.58475 1694.89831 44914.80508 -453.16720 303.16720 -359.16844
-51.38814 -15.58475 1694.89831 45762.25424 -452.37266 302.37266 -209.97450
-51.38051 -15.58475 1694.89831 46609.70339 -451.47599 301.47599 -95.87854
-51.37288 -15.58475 1694.89831 47457.15254 -450.48433 300.48433 -94.49404
-51.36525 -15.58475 1694.89831 48304.60169 -449.40072 299.40072 -96.60169
-51.35763 -15.58475 1694.89831 49152.05085 -448.22428 298.22428 -99.11284
-51.35000 -15.58475 1694.89831 49999.50000 -446.95035 296.95035 -92.45477
-51.80000 -15.57966 2259.86441 0.00000 -435.96490 285.96490 -146.08901
-51.79237 -15.57966 2259.86441 847.44915 -434.82297 284.82297 -131.97325
-51.78475 -15.57966 2259.86441 1694.89831 -433.55795 283.55795 -141.16577
-51.77712 -15.57966 2259.86441 2542.34746 -432.18743 282.18743 -134.21943
-51.76949 -15.57966 2259.86441 3389.79661 -430.72735 280.72735 -127.65802
-51.76186 -15.57966 2259.86441 4237.24576 -429.19982 279.19982 -129.94572
-51.75424 -15.57966 2259.86441 5084.69492 -427.72264 277.72264 -141.97098
-51.74661 -15.57966 2259.86441 5932.14407 -428.07957 278.07957 -152.42926
-51.73898 -15.57966 2259.86441 6779.59322 -430.52182 280.52182 -179.79096
-51.73136 -15.57966 2259.86441 7627.04237 -432.91761 282.91761 -196.10909
-51.72373 -15.57966 2259.86441 8474.49153 -435.17746 285.17746 -194.98945
-51.71610 -15.57966 2259.86441 9321.94068 -437.33969 287.33969 -190.17712
-51.70847 -15.57966 2259.86441 10169.38983 -439.44633 289.44633 -208.88722
-51.70085 -15.57966 2259.86441 11016.83898 -441.53780 291.53780 -227.97736
-51.69322 -15.57966 2259.86441 11864.28814 -443.65408 293.65408 -248.38316
-51.68559 -15.57966 2259.86441 12711.73729 -445.83630 295.83630 -235.78730
-51.67797 -15.57966 2259.86441 13559.18644 -448.12442 298.12442 -188.46791
-51.67034 -15.57966 2259.86441 14406.63559 -450.48392 300.48392 -127.01460
-51.66271 -15.57966 2259.86441 15254.08475 -450.84598 300.84598 -102.80614
-51.65508 -15.57966 2259.86441 16101.53390 -449.39203 299.39203 -100.31812
-51.64746 -15.57966 2259.86441 16948.98305 -448.05183 298.05183 -82.50954
-51.63983 -15.57966 2259.86441 17796.43220 -446.83149 296.83149 -74.30711
-51.63220 -15.57966 2259.86441 18643.88136 -445.67659 295.67659 -72.83420
-51.62458 -15.57966 2259.86441 19491.33051 -444.53294 294.53294 -52.13363
-51.61695 -15.57966 2259.86441 20338.77966 -443.34750 293.34750 -119.99455
-51.60932 -15.57966 2259.86441 21186.22881 -442.06600 292.06600 -120.45275
-51.60169 -15.57966 2259.86441 22033.67797 -440.63166 290.63166 -80.74389
-51.59407 -15.57966 2259.86441 22881.12712 -438.99516 288.99516 11.03760
-51.58644 -15.57966 2259.86441 23728.57627 -437.32835 287.32835 118.00346
-51.57881 -15.57966 2259.86441 24576.02542 -437.39695 287.39695 -7.98241
-51.57119 -15.57966 2259.86441 25423.47458 -438.88164 288.88164 -112.22497
-51.56356 -15.57966 2259.86441 26270.92373 -440.30384 290.30384 -159.72842
