# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.73898 -15.56441 3954.76271 847.44915 -429.11749 279.11749 -190.59699
-51.73136 -15.56441 3954.76271 1694.89831 -430.98925 280.98925 -223.50574
-51.72373 -15.56441 3954.76271 2542.34746 -432.88733 282.88733 -258.43711
-51.71610 -15.56441 3954.76271 3389.79661 -434.78541 284.78541 -290.51838
-51.70847 -15.56441 3954.76271 4237.24576 -436.68350 286.68350 -316.27696
-51.70085 -15.56441 3954.76271 5084.69492 -438.58158 288.58158 -380.41368
-51.69322 -15.56441 3954.76271 5932.14407 -440.47966 290.47966 -491.80254
-51.68559 -15.56441 3954.76271 6779.59322 -442.37774 292.37774 -648.83032
-51.67797 -15.56441 3954.76271 7627.04237 -444.26171 294.26171 -791.20786
-51.67034 -15.56441 3954.76271 8474.49153 -445.64669 295.64669 -878.69707
-51.66271 -15.56441 3954.76271 9321.94068 -446.39348 296.39348 -1046.05077
-51.65508 -15.56441 3954.76271 10169.38983 -446.49884 296.49884 -1115.47878
-51.64746 -15.56441 3954.76271 11016.83898 -446.13107 296.13107 -1043.73130
-51.63983 -15.56441 3954.76271 11864.28814 -445.75514 295.75514 -861.13431
-51.63220 -15.56441 3954.76271 12711.73729 -445.37921 295.37921 -628.53827
-51.62458 -15.56441 3954.76271 13559.18644 -445.00327 295.00327 -423.40756
-51.61695 -15.56441 3954.76271 14406.63559 -444.62734 294.62734 -292.11495
-51.60932 -15.56441 3954.76271 15254.08475 -444.25141 294.25141 -214.23206
-51.60169 -15.56441 3954.76271 16101.53390 -443.87548 293.87548 -158.33078
-51.59407 -15.56441 3954.76271 16948.98305 -443.50971 293.50971 -93.57214
-51.58644 -15.56441 3954.76271 17796.43220 -443.35197 293.35197 -2.54168
-51.57881 -15.56441 3954.76271 18643.88136 -443.44163 293.44163 94.06474
-51.57119 -15.56441 3954.76271 19491.33051 -443.78480 293.78480 -41.95896
-51.56356 -15.56441 3954.76271 20338.77966 -444.29715 294.29715 -115.69250
-51.55593 -15.56441 3954.76271 21186.22881 -444.81037 294.81037 -128.58715
-51.74661 -15.55932 4519.72881 0.00000 -427.79505 277.79505 -163.62183
-51.73898 -15.55932 4519.72881 847.44915 -428.78004 278.78004 -188.65974
-51.73136 -15.55932 4519.72881 1694.89831 -430.46552 280.46552 -223.44008
-51.72373 -15.55932 4519.72881 2542.34746 -432.24948 282.24948 -266.07486
-51.71610 -15.55932 4519.72881 3389.79661 -434.03345 284.03345 -317.16604
-51.70847 -15.55932 4519.72881 4237.24576 -435.81741 285.81741 -377.38347
-51.70085 -15.55932 4519.72881 5084.69492 -437.60138 287.60138 -432.61021
-51.69322 -15.55932 4519.72881 5932.14407 -439.38534 289.38534 -568.48085
-51.68559 -15.55932 4519.72881 6779.59322 -441.16930 291.16930 -692.77741
-51.67797 -15.55932 4519.72881 7627.04237 -442.89984 292.89984 -803.99264
-51.67034 -15.55932 4519.72881 8474.49153 -444.19600 294.19600 -991.61354
-51.66271 -15.55932 4519.72881 9321.94068 -445.05275 295.05275 -1510.73128
-51.65508 -15.55932 4519.72881 10169.38983 -445.46820 295.46820 -1694.18620
-51.64746 -15.55932 4519.72881 11016.83898 -445.46068 295.46068 -1623.06898
-51.63983 -15.55932 4519.72881 11864.28814 -445.41006 295.41006 -1343.85849
-51.63220 -15.55932 4519.72881 12711.73729 -445.35944 295.35944 -986.88704
-51.62458 -15.55932 4519.72881 13559.18644 -445.30882 295.30882 -756.68009
-51.61695 -15.55932 4519.72881 14406.63559 -445.25820 295.25820 -497.76554
-51.60932 -15.55932 4519.72881 15254.08475 -445.20758 295.20758 -328.85225
-51.60169 -15.55932 4519.72881 16101.53390 -445.15696 295.15696 -236.44900
-51.59407 -15.55932 4519.72881 16948.98305 -445.12113 295.12113 -164.21604
-51.58644 -15.55932 4519.72881 17796.43220 -445.17872 295.17872 -62.18457
-51.57881 -15.55932 4519.72881 18643.88136 -445.32739 295.32739 35.38981
-51.57119 -15.55932 4519.72881 19491.33051 -445.56904 295.56904 -23.89697
-51.56356 -15.55932 4519.72881 20338.77966 -445.89528 295.89528 -125.04281
-51.55593 -15.55932 4519.72881 21186.22881 -446.22770 296.22770 -171.83313
-51.74661 -15.55424 5084.69492 0.00000 -427.59468 277.59468 -169.70773
-51.73898 -15.55424 5084.69492 847.44915 -428.43694 278.43694 -195.59287
-51.73136 -15.55424 5084.69492 1694.89831 -429.94179 279.94179 -229.13951
-51.72373 -15.55424 5084.69492 2542.34746 -431.61164 281.61164 -272.99665
-51.71610 -15.55424 5084.69492 3389.79661 -433.28148 283.28148 -331.32946
-51.70847 -15.55424 5084.69492 4237.24576 -434.95133 284.95133 -403.61333
-51.70085 -15.55424 5084.69492 5084.69492 -436.62118 286.62118 -469.67347
-51.69322 -15.55424 5084.69492 5932.14407 -438.29102 288.29102 -636.10935
-51.68559 -15.55424 5084.69492 6779.59322 -439.96087 289.96087 -767.17200
-51.67797 -15.55424 5084.69492 7627.04237 -441.55659 291.55659 -846.77107
-51.67034 -15.55424 5084.69492 8474.49153 -442.82361 292.82361 -988.15111
-51.66271 -15.55424 5084.69492 9321.94068 -443.78902 293.78902 -1585.18394
-51.65508 -15.55424 5084.69492 10169.38983 -444.45169 294.45169 -1816.56877
-51.64746 -15.55424 5084.69492 11016.83898 -444.79029 294.79029 -1856.20866
-51.63983 -15.55424 5084.69492 11864.28814 -445.06498 295.06498 -1726.05021
-51.63220 -15.55424 5084.69492 12711.73729 -445.33967 295.33967 -1467.30667
-51.62458 -15.55424 5084.69492 13559.18644 -445.61437 295.61437 -1115.62323
-51.61695 -15.55424 5084.69492 14406.63559 -445.88906 295.88906 -701.39233
-51.60932 -15.55424 5084.69492 15254.08475 -446.16376 296.16376 -414.99881
-51.60169 -15.55424 5084.69492 16101.53390 -446.43845 296.43845 -271.99884
-51.59407 -15.55424 5084.69492 16948.98305 -446.70515 296.70515 -177.59684
-51.58644 -15.55424 5084.69492 17796.43220 -446.94248 296.94248 -48.10523
-51.57881 -15.55424 5084.69492 18643.88136 -447.15338 297.15338 -3.76487
-51.57119 -15.55424 5084.69492 19491.33051 -447.33736 297.33736 -49.92425
-51.56356 -15.55424 5084.69492 20338.77966 -447.49340 297.49340 -137.65941
-51.55593 -15.55424 5084.69492 21186.22881 -447.64503 297.64503 -175.43980
-51.74661 -15.54915 5649.66102 0.00000 -427.33981 277.33981 -185.58159
-51.73898 -15.54915 5649.66102 847.44915 -428.07056 278.07056 -215.57405
-51.73136 -15.54915 5649.66102 1694.89831 -429.41806 279.41806 -243.25311
-51.72373 -15.54915 5649.66102 2542.34746 -430.97379 280.97379 -279.21462
-51.71610 -15.54915 5649.66102 3389.79661 -432.52952 282.52952 -328.64597
-51.70847 -15.54915 5649.66102 4237.24576 -434.08525 284.08525 -383.46144
