# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.41864 -15.45254 5084.69492 14406.63559 -441.25397 291.25397 -356.08515
-51.41102 -15.45254 5084.69492 15254.08475 -441.16842 291.16842 -374.31325
-51.40339 -15.45254 5084.69492 16101.53390 -441.08472 291.08472 -277.95664
-51.39576 -15.45254 5084.69492 16948.98305 -441.00292 291.00292 -204.17498
-51.38814 -15.45254 5084.69492 17796.43220 -440.92141 290.92141 -209.78919
-51.38051 -15.45254 5084.69492 18643.88136 -440.83990 290.83990 -263.26045
-51.37288 -15.45254 5084.69492 19491.33051 -440.75839 290.75839 -230.78441
-51.36525 -15.45254 5084.69492 20338.77966 -440.67687 290.67687 -204.64292
-51.35763 -15.45254 5084.69492 21186.22881 -440.59536 290.59536 -249.38904
-51.35000 -15.45254 5084.69492 22033.67797 -440.51403 290.51403 -270.51011
-51.54831 -15.44746 5649.66102 0.00000 -446.81060 296.81060 -79.21821
-51.54068 -15.44746 5649.66102 847.44915 -445.95770 295.95770 -101.86208
-51.53305 -15.44746 5649.66102 1694.89831 -445.10479 295.10479 -151.69620
-51.52542 -15.44746 5649.66102 2542.34746 -444.25188 294.25188 -203.15782
-51.51780 -15.44746 5649.66102 3389.79661 -443.39897 293.39897 -245.02240
-51.51017 -15.44746 5649.66102 4237.24576 -442.61664 292.61664 -284.22761
-51.50254 -15.44746 5649.66102 5084.69492 -442.02351 292.02351 -332.17360
-51.49492 -15.44746 5649.66102 5932.14407 -441.59661 291.59661 -373.35643
-51.48729 -15.44746 5649.66102 6779.59322 -441.34127 291.34127 -442.49756
-51.47966 -15.44746 5649.66102 7627.04237 -441.26126 291.26126 -664.33997
-51.47203 -15.44746 5649.66102 8474.49153 -441.20592 291.20592 -1033.74821
-51.46441 -15.44746 5649.66102 9321.94068 -441.15057 291.15057 -1334.25088
-51.45678 -15.44746 5649.66102 10169.38983 -441.09523 291.09523 -996.74395
-51.44915 -15.44746 5649.66102 11016.83898 -441.03988 291.03988 -724.88901
-51.44153 -15.44746 5649.66102 11864.28814 -440.98454 290.98454 -576.70071
-51.43390 -15.44746 5649.66102 12711.73729 -440.92919 290.92919 -441.02749
-51.42627 -15.44746 5649.66102 13559.18644 -440.86586 290.86586 -387.09420
-51.41864 -15.44746 5649.66102 14406.63559 -440.78462 290.78462 -512.79696
-51.41102 -15.44746 5649.66102 15254.08475 -440.68769 290.68769 -542.76281
-51.40339 -15.44746 5649.66102 16101.53390 -440.57434 290.57434 -405.23666
-51.39576 -15.44746 5649.66102 16948.98305 -440.44506 290.44506 -251.59580
-51.38814 -15.44746 5649.66102 17796.43220 -440.31416 290.31416 -196.14998
-51.38051 -15.44746 5649.66102 18643.88136 -440.18327 290.18327 -243.55322
-51.37288 -15.44746 5649.66102 19491.33051 -440.05237 290.05237 -218.80385
-51.36525 -15.44746 5649.66102 20338.77966 -439.92147 289.92147 -191.60401
-51.35763 -15.44746 5649.66102 21186.22881 -439.79057 289.79057 -124.95047
-51.35000 -15.44746 5649.66102 22033.67797 -439.65967 289.65967 -193.69364
-51.54831 -15.44237 6214.62712 0.00000 -445.43875 295.43875 -62.29148
-51.54068 -15.44237 6214.62712 847.44915 -444.67526 294.67526 -79.36463
-51.53305 -15.44237 6214.62712 1694.89831 -443.91176 293.91176 -135.69284
-51.52542 -15.44237 6214.62712 2542.34746 -443.14827 293.14827 -188.21301
-51.51780 -15.44237 6214.62712 3389.79661 -442.38477 292.38477 -233.32776
-51.51017 -15.44237 6214.62712 4237.24576 -441.66720 291.66720 -287.25318
-51.50254 -15.44237 6214.62712 5084.69492 -441.13404 291.13404 -379.10196
-51.49492 -15.44237 6214.62712 5932.14407 -440.76977 290.76977 -541.22045
-51.48729 -15.44237 6214.62712 6779.59322 -440.58044 290.58044 -823.86594
-51.47966 -15.44237 6214.62712 7627.04237 -440.54928 290.54928 -1065.55377
-51.47203 -15.44237 6214.62712 8474.49153 -440.52903 290.52903 -1375.42532
-51.46441 -15.44237 6214.62712 9321.94068 -440.50878 290.50878 -1706.52072
-51.45678 -15.44237 6214.62712 10169.38983 -440.48853 290.48853 -1659.92094
-51.44915 -15.44237 6214.62712 11016.83898 -440.46828 290.46828 -1574.84704
-51.44153 -15.44237 6214.62712 11864.28814 -440.44803 290.44803 -1275.42848
-51.43390 -15.44237 6214.62712 12711.73729 -440.42778 290.42778 -822.48969
-51.42627 -15.44237 6214.62712 13559.18644 -440.39520 290.39520 -446.43370
-51.41864 -15.44237 6214.62712 14406.63559 -440.32238 290.32238 -388.45845
-51.41102 -15.44237 6214.62712 15254.08475 -440.21333 290.21333 -438.35202
-51.40339 -15.44237 6214.62712 16101.53390 -440.06618 290.06618 -410.33107
-51.39576 -15.44237 6214.62712 16948.98305 -439.88721 289.88721 -354.85741
