# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.74661 -15.57458 2824.83051 5932.14407 -428.01699 278.01699 -169.09127
-51.73898 -15.57458 2824.83051 6779.59322 -429.91039 279.91039 -185.89610
-51.73136 -15.57458 2824.83051 7627.04237 -432.10735 282.10735 -217.70251
-51.72373 -15.57458 2824.83051 8474.49153 -434.28827 284.28827 -233.29259
-51.71610 -15.57458 2824.83051 9321.94068 -436.40720 286.40720 -237.54900
-51.70847 -15.57458 2824.83051 10169.38983 -438.48374 288.48374 -269.70743
-51.70085 -15.57458 2824.83051 11016.83898 -440.54817 290.54817 -271.03171
-51.69322 -15.57458 2824.83051 11864.28814 -442.63188 292.63188 -316.05233
-51.68559 -15.57458 2824.83051 12711.73729 -444.76062 294.76062 -320.09979
-51.67797 -15.57458 2824.83051 13559.18644 -446.92090 296.92090 -266.61468
-51.67034 -15.57458 2824.83051 14406.63559 -448.85088 298.85088 -177.61798
-51.66271 -15.57458 2824.83051 15254.08475 -449.36420 299.36420 -189.12106
-51.65508 -15.57458 2824.83051 16101.53390 -448.49807 298.49807 -201.01634
-51.64746 -15.57458 2824.83051 16948.98305 -447.45258 297.45258 -188.67941
-51.63983 -15.57458 2824.83051 17796.43220 -446.45930 296.45930 -165.91627
-51.63220 -15.57458 2824.83051 18643.88136 -445.51372 295.51372 -135.79020
-51.62458 -15.57458 2824.83051 19491.33051 -444.57733 294.57733 -93.61059
-51.61695 -15.57458 2824.83051 20338.77966 -443.60754 293.60754 -66.92583
-51.60932 -15.57458 2824.83051 21186.22881 -442.56489 292.56489 -93.87227
-51.60169 -15.57458 2824.83051 22033.67797 -441.42817 291.42817 -97.67026
-51.59407 -15.57458 2824.83051 22881.12712 -440.28595 290.28595 -27.30111
-51.58644 -15.57458 2824.83051 23728.57627 -439.41251 289.41251 108.35261
-51.57881 -15.57458 2824.83051 24576.02542 -439.42074 289.42074 68.50577
-51.57119 -15.57458 2824.83051 25423.47458 -440.23099 290.23099 -76.03731
-51.56356 -15.57458 2824.83051 26270.92373 -441.27993 291.27993 -146.14993
-51.55593 -15.57458 2824.83051 27118.37288 -442.32181 292.32181 -146.14487
-51.54831 -15.57458 2824.83051 27965.82203 -443.27588 293.27588 -104.31835
-51.54068 -15.57458 2824.83051 28813.27119 -444.14274 294.14274 -56.54419
-51.53305 -15.57458 2824.83051 29660.72034 -444.93903 294.93903 -37.70458
-51.52542 -15.57458 2824.83051 30508.16949 -445.68757 295.68757 -98.45270
-51.51780 -15.57458 2824.83051 31355.61864 -446.42202 296.42202 -5.69674
